ZipCode/Item,,,,2022-3347 Sport Fishing License (Free - Nonres Developmentally Impaired),2022-3348 Sport Fishing License (Free - Nonres Visually Impaired),,2022-3340 Sport Fishing License (Free - Res Developmentally Impaired),2022-3341 Sport Fishing License (Free - Res Mobility Impaired),2022-3343 Sport Fishing License (Free - Res Native American w/Low Income),2022-3342 Sport Fishing License (Free - Res Visually Impaired),,2022-1020 Sport Fishing License (Nonres),2022-3310 Sport Fishing License (Reduced - Disabled Veteran),,2022-3312 Sport Fishing License (Reduced - Recovering Service Member),,2022-3311 Sport Fishing License (Reduced - Res Senior w/Low Income),,2022-1010 Sport Fishing License (Res),,2022-1011 Sport Fishing License (Res)  - Voucher Redemption,2022-1017 Sport Fishing License - Lifetime,2022-1043 Sport Fishing 1-Day License (Quick-Sale),2022-1040 Sport Fishing 1-Day License (Res/Nonres),2022-1041 Sport Fishing 1-Day License (Res/Nonres) (TAN),2022-0230 Sport Fishing 10-Day License (Nonres),2022-0250 Sport Fishing 2-Day License (Res/Nonres),2022-1510 SHARE Fishing Multi Choice Application,2022-1000 North Coast Salmon Report Card,2022-1007 North Coast Salmon Report Card - Lifetime,2022-0271 Spiny Lobster Report Card (Full Season),2022-1030 Steelhead Report And Restoration Card,2022-1037 Steelhead Report and Restoration Card - Lifetime,2022-0260 Sturgeon Fishing Report Card,2022-1080 Recreational Crab Trap Validation,2022-1081 Recreational Crab Trap Validation (TAN),2022-0220 Second-Rod Sport Fishing Validation,2022-0227 Second-Rod Sport Fishing Validation - Lifetime,2022-1070 Sport Ocean Enhancement Validation,2022-1077 Sport Ocean Enhancement Validation - Lifetime,2022-1019 Gift Voucher for Resident Sport Fishing License - Not Valid until Redeemed,2022-9010 Multi-day Trip Declaration,2022-9012 Multi-day Trip Declaration - CPFV,2022-0275 Spiny Lobster Non-Reporting Fee,Grand Total
91350,,,,,,,,7,,1,,8,17,,,,,,2006,,45,6,,413,,7,110,,1,,80,7,,,19,,742,,1262,,44,,,23,4798
91351,,,,,,,,5,,,,3,10,,,,,,767,,14,4,,182,,1,51,,1,,28,,,,12,,304,1,449,1,18,,,11,1862
91355,,,,,,,3,4,,1,,8,12,,,,,,1540,,29,7,,471,,4,122,,,,45,3,,7,15,,511,2,784,2,44,,,11,3625
91360,,,,,,,2,2,,,,8,7,,,,,,1956,,32,24,,327,,8,143,,2,1,219,12,1,,22,,520,10,1441,10,34,,,60,4841
91381,,,,,,,2,3,,,,7,6,,,,,,714,,9,2,,234,,4,58,,,,9,2,,2,1,,324,,421,,9,,,3,1810
91384,,,,,,,,0,0,,,3,3,,,,,,1514,,6,,,2026,,3,44,,,,,,,,4,,804,,837,,1,,,,5245
91402,,,,,,,1,2,,,,1,,,,,,,261,,2,,,75,,,10,,,,4,,,1,6,,125,,214,,,,,2,704
91405,,,,,,,4,25,,1,,1,4,,,,,,1516,,1,4,,592,,,114,,,,38,,,1,27,,776,3,1169,3,,,,8,4287
91411,,,,,,,1,5,,,,5,13,,,,,,2062,,9,6,,627,,6,63,,5,1,129,3,1,8,2,,1080,2,1731,2,6,,,25,5792
91502,,,,,,,3,6,,1,,9,6,,,,0,,1994,,8,11,,586,,11,191,,6,,51,9,,1,17,,885,2,1235,2,15,,,7,5056
91604,,,,,,,,7,,,,2,1,,,,,,389,,5,1,,135,,2,29,,,,29,2,,1,3,,166,1,275,1,4,,,4,1057
91706,,,,,,,,2,,,,2,1,,,,,,398,,,1,,198,,,12,,,,11,,,,9,,148,,225,,,,,1,1008
91709,,,,,,,1,3,,,,3,12,,,,,,958,,6,7,,206,,4,40,,1,,86,3,,,4,,374,4,634,4,1,,,8,2359
91710,,,,,,,4,10,,,,6,23,,,,,,2468,,36,12,,1114,,3,169,,1,,132,1,,,15,,1069,2,1353,2,56,,,26,6502
91722,,,,,,,2,10,,,,2,5,,,,,,996,,15,4,,468,,3,59,,,,48,,,,11,,435,1,584,1,16,,,9,2669
91730,,,,,,,,5,,,,1,10,,,,,,688,,9,3,,351,,2,71,,,1,43,2,1,,3,,280,3,386,3,23,,,3,1888
91731,,,,,,,1,4,,,,3,4,,,,,,733,,,4,,328,,,40,,,,66,,,,7,,329,3,555,3,3,,,6,2089
91739,,,,,,,14,31,,1,,25,137,,,,,,10271,,130,37,,1688,,39,433,,22,,209,23,,6,29,,4692,11,5397,11,141,,,27,23374
91740,,,,,,,,3,,,,5,11,,,,,,633,,4,,,285,,4,25,,,,14,,,,8,,261,,358,,5,,,3,1619
91744,,,,,,,1,5,,,,,7,,,,,,488,,6,3,,246,,,33,,,,32,1,,,7,,225,1,339,1,4,,,7,1406
91745,,,,,,,,2,,1,,2,2,,,,,,745,,,3,,152,,,22,,,,91,,,,8,,183,2,484,2,,,,8,1707
91748,,,,,,,4,,,1,,7,7,,,,,,817,,6,10,,460,,6,36,,1,,142,4,,1,11,,280,6,651,6,3,,,17,2476
91754,,,,,,,1,6,,,,2,4,,,,,,731,,5,7,,321,,,42,,,,30,,,,9,,292,5,554,5,2,,,5,2021
91755,,,,,,,1,,,,,,1,,,,,,605,,,,,155,,,2,,,,142,,,,22,,250,,603,,,,,11,1792
91762,,,,,,,,3,,,,3,3,,,,,,495,,1,5,,255,,,26,,,,7,,,,14,,252,2,254,2,7,,,,1329
91764,,,,,,,,,,,,2,9,,,,,,522,,6,2,,96,,,12,,,,18,,,1,1,,153,1,275,1,2,,,8,1109
91766,,,,,,,1,2,,,,1,1,,,,,,246,,1,1,,108,,,17,,,,1,,,,1,,101,,109,,,,,,590
91767,,,,,,,1,12,,,,2,6,,,,,,665,,16,3,,209,,,37,,,,28,,,,2,,268,0,418,0,22,,,7,1696
