ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,Total Students All Grades (Includes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22
BLUE OAK ACADEMY DISTRICT,CALIFORNIA,313,313
BLUE OAK CHARTER DISTRICT,CALIFORNIA,271,271
BLUE RIDGE ACADEMY DISTRICT,CALIFORNIA,6547,6547
BOGUS ELEMENTARY,California,15,15
BOLINAS-STINSON UNION,California,94,94
BONITA UNIFIED,California,9599,9599
BONNY DOON UNION ELEMENTARY,California,117,117
BONSALL UNIFIED,CALIFORNIA,2209,2209
BORREGO SPRINGS UNIFIED,California,355,355
BOSTONIA GLOBAL DISTRICT,CALIFORNIA,1007,1007
BRADLEY UNION ELEMENTARY,California,58,58
BRAWLEY ELEMENTARY,California,3830,3830
BRAWLEY UNION HIGH,California,2048,2048
BREA-OLINDA UNIFIED,California,5866,5866
BRENTWOOD UNION ELEMENTARY,California,9124,9124
BRET HARTE UNION HIGH,California,646,646
BRIDGES CHARTER DISTRICT,CALIFORNIA,391,391
BRIDGES PREPARATORY ACADEMY DISTRICT,CALIFORNIA,78,78
BRIDGEVILLE ELEMENTARY,California,38,38
BRIGGS ELEMENTARY,California,470,470
BRIGHT STAR SECONDARY CHARTER ACADEMY DISTRICT,CALIFORNIA,530,530
BRISBANE ELEMENTARY,California,450,450
BRITTAN ELEMENTARY,California,452,452
BROOKFIELD ENGINEERING SCIENCE TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,439,439
BROWNS ELEMENTARY,California,122,122
BUCKEYE UNION ELEMENTARY,California,4351,4351
BUELLTON UNION ELEMENTARY,California,548,548
BUENA PARK ELEMENTARY,California,4015,4015
BUENA VISTA ELEMENTARY,California,191,191
BULLIS CHARTER DISTRICT,CALIFORNIA,1067,1067
BURBANK UNIFIED,California,14331,14331
BURLINGAME ELEMENTARY,California,3312,3312
BURNT RANCH ELEMENTARY,California,62,62
BURREL UNION ELEMENTARY,California,124,124
BURTON ELEMENTARY,California,4772,4772
BUTTE COUNTY OFFICE OF EDUCATION,California,333,333
BUTTE COUNTY ROP,California,0,0
BUTTE VALLEY UNIFIED,California,281,281
BUTTEVILLE UNION ELEMENTARY,California,164,164
BUTTONWILLOW UNION ELEMENTARY,California,322,322
BYRON UNION ELEMENTARY,California,1268,1268
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,CALIFORNIA,†,†
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,CALIFORNIA,0,0
CA MONTESSORI PROJECT-SHINGLE SPRINGS CAMPUS DISTRICT,CALIFORNIA,487,487
CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),California,300,300
CABRILLO POINT ACADEMY DISTRICT,CALIFORNIA,4149,4149
CABRILLO UNIFIED,California,2803,2803
CAJON VALLEY UNION,California,14799,14799
CALAVERAS COUNTY OFFICE OF EDUCATION,California,470,470
CALAVERAS UNIFIED,California,2854,2854
CALEXICO UNIFIED,California,8563,8563
CALIBER: BETA ACADEMY DISTRICT,CALIFORNIA,886,886
CALIBER: CHANGEMAKERS ACADEMY DISTRICT,CALIFORNIA,833,833
CALIENTE UNION ELEMENTARY,California,55,55
CALIFORNIA CONNECTIONS ACADEMY @ RIPON DISTRICT,CALIFORNIA,1626,1626
CALIFORNIA CONNECTIONS ACADEMY CENTRAL COAST DISTRICT,CALIFORNIA,91,91
CALIFORNIA CONNECTIONS ACADEMY MONTEREY BAY DISTRICT,CALIFORNIA,478,478
CALIFORNIA CONNECTIONS ACADEMY NORTH BAY DISTRICT,CALIFORNIA,171,171
CALIFORNIA CONNECTIONS ACADEMY SOUTHERN CALIFORNIA DISTRICT,CALIFORNIA,4868,4868
CALIFORNIA CONNECTIONS ACADEMY@CENTRAL DISTRICT,CALIFORNIA,665,665
CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,California,204,204
CALIFORNIA HERITAGE YOUTHBUILD ACADEMY II DISTRICT,CALIFORNIA,79,79
CALIFORNIA INNOVATIVE CAREER ACADEMY DISTRICT,CALIFORNIA,780,780
CALIFORNIA MONTESSORI PROJECT - CAPITOL CAMPUS DISTRICT,CALIFORNIA,345,345
CALIFORNIA MONTESSORI PROJECT - ELK GROVE CAMPUS DISTRICT,CALIFORNIA,541,541
CALIFORNIA MONTESSORI PROJECT-SAN JUAN CAMPUSES DISTRICT,CALIFORNIA,1386,1386
CALIFORNIA PACIFIC CHARTER - SAN DIEGO DISTRICT,CALIFORNIA,272,272
CALIFORNIA PACIFIC CHARTER - SONOMA DISTRICT,CALIFORNIA,173,173
CALIFORNIA PACIFIC CHARTER- LOS ANGELES DISTRICT,CALIFORNIA,363,363
CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),California,62,62
CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),California,318,318
CALIFORNIA SCHOOL OF THE ARTS - SAN GABRIEL VALLEY DISTRICT,CALIFORNIA,982,982
CALIFORNIA VIRTUAL ACADEMY @ LOS ANGELES DISTRICT,CALIFORNIA,6152,6152
CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO DISTRICT,CALIFORNIA,3719,3719
CALIFORNIA VIRTUAL ACADEMY @ SAN JOAQUIN DISTRICT,CALIFORNIA,2814,2814
CALIFORNIA VIRTUAL ACADEMY @ SONOMA DISTRICT,CALIFORNIA,861,861
CALIFORNIA VIRTUAL ACADEMY AT FRESNO DISTRICT,CALIFORNIA,1252,1252
CALIFORNIA VIRTUAL ACADEMY AT KINGS DISTRICT,CALIFORNIA,592,592
CALIFORNIA VIRTUAL ACADEMY AT MARICOPA DISTRICT,CALIFORNIA,1032,1032
CALIFORNIA VIRTUAL ACADEMY AT SUTTER DISTRICT,CALIFORNIA,1557,1557
CALIFORNIA VIRTUAL ACADEMY SAN MATEO DISTRICT,CALIFORNIA,1125,1125
CALIPATRIA UNIFIED,California,1143,1143
CALISTOGA JOINT UNIFIED,California,832,832
CALLIOPE ACADEMY DISTRICT,CALIFORNIA,†,†
CAMARILLO ACADEMY OF PROGRESSIVE EDUCATION DISTRICT,CALIFORNIA,563,563
CAMBRIAN,California,2985,2985
CAMINO NUEVO CHARTER ACADEMY #2 DISTRICT,CALIFORNIA,685,685
CAMINO NUEVO CHARTER ACADEMY #4 DISTRICT,CALIFORNIA,600,600
CAMINO NUEVO CHARTER ACADEMY DISTRICT,CALIFORNIA,579,579
CAMINO NUEVO ELEMENTARY SCHOOL #3 DISTRICT,CALIFORNIA,695,695
CAMINO NUEVO HIGH #2 DISTRICT,CALIFORNIA,508,508
CAMINO POLYTECHNIC DISTRICT,CALIFORNIA,34,34
CAMINO UNION ELEMENTARY,California,412,412
CAMPBELL UNION,California,6230,6230
CAMPBELL UNION HIGH,California,8583,8583
CAMPTONVILLE ELEMENTARY,California,45,45
CANYON ELEMENTARY,California,73,73
CAPAY JOINT UNION ELEMENTARY,California,198,198
CAPISTRANO UNIFIED,California,42754,42754
CAPITOL COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,435,435
CARDIFF ELEMENTARY,California,631,631
CAREER TECHNICAL EDUCATION CHARTER DISTRICT,CALIFORNIA,248,248
CARLSBAD UNIFIED,California,11027,11027
CARMEL UNIFIED,California,2264,2264
CARPINTERIA UNIFIED,California,2099,2099
CARTER G. WOODSON PUBLIC CHARTER DISTRICT,CALIFORNIA,350,350
CARUTHERS UNIFIED,California,1569,1569
CASCADE UNION ELEMENTARY,California,1085,1085
CASTAIC UNION,California,1893,1893
CASTLE ROCK UNION ELEMENTARY,California,50,50
CASTRO VALLEY UNIFIED,California,9043,9043
CATCH PREP CHARTER HIGH INC. DISTRICT,CALIFORNIA,197,197
CAYUCOS ELEMENTARY,California,174,174
CEIBA COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,511,511
CENTER FOR ADVANCED LEARNING DISTRICT,CALIFORNIA,278,278
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,†,†
CENTER JOINT UNIFIED,California,4102,4102
CENTINELA VALLEY UNION HIGH,California,5936,5936
CENTRAL CALIF MIGRANT HEAD START JPA,California,†,†
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,†,†
CENTRAL CITY VALUE DISTRICT,CALIFORNIA,452,452
CENTRAL ELEMENTARY,California,4331,4331
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,0,0
CENTRAL SIERRA ROP,California,0,0
CENTRAL SIERRA ROP JPA,California,†,†
CENTRAL UNIFIED,California,15729,15729
CENTRAL UNION ELEMENTARY,California,1753,1753
CENTRAL UNION HIGH,California,4116,4116
CENTRAL VALLEY PRE-SCHOOL JPA,California,†,†
CENTRAL VALLEY SUPPORT SERVICES JPA,California,†,†
CENTRALIA ELEMENTARY,California,4077,4077
CENTURY ACADEMY FOR EXCELLENCE DISTRICT,CALIFORNIA,†,†
CENTURY COMMUNITY CHARTER DISTRICT,CALIFORNIA,424,424
CERES UNIFIED,California,14160,14160
CHAFFEY JOINT UNION HIGH,California,23566,23566
CHAMPS - CHARTER HS OF ARTS-MULTIMEDIA & PERFORMING DISTRICT,CALIFORNIA,508,508
CHARTER OAK UNIFIED,California,4260,4260
