ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,Total Students All Grades (Includes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22
MONTE RIO UNION ELEMENTARY,California,67,67
MONTEBELLO UNIFIED,California,21730,21730
MONTECITO UNION ELEMENTARY,California,375,375
MONTEREY BAY CHARTER DISTRICT,CALIFORNIA,453,453
MONTEREY COUNTY OFFICE OF EDUCATION,California,678,678
MONTEREY PENINSULA UNIFIED,California,9349,9349
MONTGOMERY ELEMENTARY,California,19,19
MOORPARK UNIFIED,California,5772,5772
MORAGA ELEMENTARY,California,1724,1724
MORELAND,California,4043,4043
MORENO VALLEY UNIFIED,California,31609,31609
MORGAN HILL UNIFIED,California,8015,8015
MORONGO UNIFIED,California,7580,7580
MORRICE SCHAEFER CHARTER DISTRICT,CALIFORNIA,326,326
MOTHER LODE UNION ELEMENTARY,California,876,876
MOUNT PLEASANT ELEMENTARY,California,1710,1710
MOUNTAIN ELEMENTARY,California,142,142
MOUNTAIN EMPIRE UNIFIED,California,1746,1746
MOUNTAIN HOME CHARTER (ALTERNATIVE) DISTRICT,CALIFORNIA,240,240
MOUNTAIN HOUSE ELEMENTARY,California,20,20
MOUNTAIN UNION ELEMENTARY,California,87,87
MOUNTAIN VALLEY SPECIAL EDUCATION JPA,CALIFORNIA,†,†
MOUNTAIN VALLEY UNIFIED,California,304,304
MOUNTAIN VIEW ELEMENTARY,California,5336,5336
MOUNTAIN VIEW ELEMENTARY,California,2707,2707
MOUNTAIN VIEW WHISMAN,California,4522,4522
MOUNTAIN VIEW-LOS ALTOS UNION HIGH,California,4539,4539
MT. BALDY JOINT ELEMENTARY,California,82,82
MT. DIABLO UNIFIED,California,29141,29141
MT. SHASTA UNION ELEMENTARY,California,458,458
MUELLER CHARTER (ROBERT L.) DISTRICT,CALIFORNIA,1613,1613
MULBERRY ELEMENTARY,California,66,66
MULTICULTURAL LEARNING CENTER DISTRICT,CALIFORNIA,446,446
MUPU ELEMENTARY,California,161,161
MUROC JOINT UNIFIED,California,1683,1683
MURRIETA VALLEY UNIFIED,California,22669,22669
MUSEUM DISTRICT,CALIFORNIA,215,215
N. CO REGIONAL OCCUPATIONAL PROGRAM JPA,California,†,†
N.E.W. ACADEMY CANOGA PARK DISTRICT,CALIFORNIA,384,384
N.E.W. ACADEMY OF SCIENCE AND ARTS DISTRICT,CALIFORNIA,414,414
NAPA COUNTY OFFICE OF EDUCATION,California,81,81
NAPA COUNTY ROP,California,0,0
NAPA VALLEY UNIFIED,California,16524,16524
NATIONAL ELEMENTARY,California,4436,4436
NATIONAL UNIV ACAD HOMESCH/INDEPENDENT STUDY ORANGE CO DIST,CALIFORNIA,118,118
NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE DISTRICT,CALIFORNIA,240,240
NATOMAS CHARTER DISTRICT,CALIFORNIA,1896,1896
NATOMAS UNIFIED,California,14197,14197
NEA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,535,535
NEEDLES UNIFIED,California,912,912
NEVADA CITY ELEMENTARY,California,665,665
NEVADA CITY SCHOOL OF THE ARTS DISTRICT,CALIFORNIA,418,418
NEVADA CO CHARTER SERVICES AUTHORITY (JPA),California,†,†
NEVADA COUNTY OFFICE OF EDUCATION,California,1060,1060
NEVADA COUNTY PUPIL TRANSPORTATION,California,†,†
NEVADA JOINT UNION HIGH,California,2492,2492
NEW DESIGNS CHARTER DISTRICT,CALIFORNIA,820,820
NEW DESIGNS CHARTER SCHOOL-WATTS DISTRICT,CALIFORNIA,313,313
NEW HAVEN UNIFIED,California,10442,10442
NEW HEIGHTS CHARTER DISTRICT,CALIFORNIA,411,411
NEW HOPE CHARTER DISTRICT,CALIFORNIA,144,144
NEW HOPE ELEMENTARY,California,187,187
NEW HORIZONS CHARTER ACADEMY DISTRICT,CALIFORNIA,258,258
NEW JERUSALEM ELEMENTARY,California,2029,2029
NEW LOS ANGELES CHARTER DISTRICT,CALIFORNIA,320,320
NEW LOS ANGELES CHARTER ELEMENTARY DISTRICT,CALIFORNIA,192,192
NEW MILLENNIUM SECONDARY DISTRICT,CALIFORNIA,186,186
NEW OPPORTUNITIES CHARTER DISTRICT,CALIFORNIA,244,244
NEW VILLAGE GIRLS ACADEMY DISTRICT,CALIFORNIA,88,88
NEW VISION MIDDLE DISTRICT,CALIFORNIA,410,410
NEW WEST CHARTER DISTRICT,CALIFORNIA,1041,1041
NEWARK UNIFIED,California,5173,5173
NEWCASTLE ELEMENTARY,California,431,431
NEWHALL,California,5834,5834
NEWMAN-CROWS LANDING UNIFIED,California,3142,3142
NEWPORT-MESA UNIFIED,California,17962,17962
NEXTGENERATION STEAM ACADEMY DISTRICT,CALIFORNIA,761,761
NICASIO,California,36,36
NORD COUNTRY DISTRICT,CALIFORNIA,201,201
NORRIS ELEMENTARY,California,3833,3833
NORTH COUNTY JOINT UNION ELEMENTARY,California,720,720
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),California,0,0
NORTH COUNTY TRADE TECH HIGH DISTRICT,CALIFORNIA,167,167
NORTH COW CREEK ELEMENTARY,California,252,252
NORTH MONTEREY COUNTY UNIFIED,California,4515,4515
NORTH OAKLAND COMMUNITY CHARTER DISTRICT,CALIFORNIA,145,145
NORTH ORANGE COUNTY ROP JPA,California,†,†
NORTH ORANGE COUNTY ROP-ADULT,California,0,0
NORTH SANTA CRUZ COUNTY SELPA,California,†,†
NORTH VALLEY MILITARY INST COLLEGE ACAD DISTRICT,CALIFORNIA,717,717
NORTHCOAST PREPARATORY AND PERFORMING ARTS ACADEMY DISTRICT,CALIFORNIA,163,163
NORTHERN HUMBOLDT UNION HIGH,California,1734,1734
NORTHERN SUMMIT ACADEMY SHASTA DISTRICT,CALIFORNIA,182,182
NORTHERN UNITED - HUMBOLDT CHARTER DISTRICT,CALIFORNIA,327,327
NORTHERN UNITED - SISKIYOU CHARTER DISTRICT,CALIFORNIA,120,120
NORTHWEST PREP CHARTER DISTRICT,CALIFORNIA,143,143
NORTON SCIENCE AND LANGUAGE ACADEMY DISTRICT,CALIFORNIA,1042,1042
NORWALK-LA MIRADA UNIFIED,California,15582,15582
NOVA ACADEMY - COACHELLA DISTRICT,CALIFORNIA,240,240
NOVA ACADEMY EARLY COLLEGE HIGH DISTRICT,CALIFORNIA,324,324
NOVATO CHARTER DISTRICT,CALIFORNIA,261,261
NOVATO UNIFIED,California,7158,7158
NUESTRO ELEMENTARY,California,185,185
NUVIEW UNION,California,2116,2116
OAK GROVE ELEMENTARY,California,8860,8860
OAK GROVE UNION ELEMENTARY,California,812,812
OAK PARK UNIFIED,California,4310,4310
OAK RUN ELEMENTARY,California,54,54
OAK VALLEY UNION ELEMENTARY,California,569,569
OAK VIEW UNION ELEMENTARY,California,371,371
OAKDALE JOINT UNIFIED,California,5261,5261
OAKLAND CHARTER ACADEMY DISTRICT,CALIFORNIA,246,246
OAKLAND CHARTER HIGH DISTRICT,CALIFORNIA,453,453
OAKLAND MILITARY INSTITUTECOLLEGE PREPARATORY ACAD DISTRICT,CALIFORNIA,544,544
OAKLAND SCHOOL FOR THE ARTS DISTRICT,CALIFORNIA,791,791
OAKLAND UNIFIED,California,34428,34428
OAKLAND UNITY HIGH DISTRICT,CALIFORNIA,376,376
OAKLAND UNITY MIDDLE DISTRICT,CALIFORNIA,108,108
OAKLEY UNION ELEMENTARY,California,4905,4905
OASIS CHARTER PUBLIC DISTRICT,CALIFORNIA,183,183
OCASA COLLEGE PREP DISTRICT,CALIFORNIA,129,129
OCEAN CHARTER DISTRICT,CALIFORNIA,547,547
OCEAN GROVE CHARTER DISTRICT,CALIFORNIA,3084,3084
OCEAN VIEW,California,2160,2160
OCEAN VIEW,California,6942,6942
OCEANSIDE UNIFIED,California,16261,16261
OCS - SOUTH DISTRICT,CALIFORNIA,323,323
OCSA DISTRICT,CALIFORNIA,2217,2217
ODYSSEY CHARTER DISTRICT,CALIFORNIA,463,463
OJAI UNIFIED,California,2244,2244
OLD ADOBE UNION,California,1855,1855
OLD TOWN ACADEMY K-8 CHARTER DISTRICT,CALIFORNIA,258,258
OLIVE GROVE CHARTER - BUELLTON DISTRICT,CALIFORNIA,42,42
OLIVE GROVE CHARTER - LOMPOC DISTRICT,CALIFORNIA,98,98
OLIVE GROVE CHARTER - ORCUTT/SANTA MARIA DISTRICT,CALIFORNIA,202,202
OLIVE GROVE CHARTER - SANTA BARBARA DISTRICT,CALIFORNIA,109,109
OLIVET ELEMENTARY CHARTER DISTRICT,CALIFORNIA,295,295
ONE.CHARTER DISTRICT,CALIFORNIA,690,690
ONTARIO-MONTCLAIR,California,18909,18909
OPEN DOOR CHARTER DISTRICT,CALIFORNIA,44,44
OPPORTUNITIES FOR LEARNING - BALDWIN PARK DISTRICT,CALIFORNIA,2307,2307
OPPORTUNITIES FOR LEARNING - CAPISTRANO DISTRICT,CALIFORNIA,95,95
OPPORTUNITIES FOR LEARNING - DUARTE DISTRICT,CALIFORNIA,93,93
OPPORTUNITIES FOR LEARNING - SANTA CLARITA DISTRICT,CALIFORNIA,441,441
OPTIONS FOR YOUTH - DUARTE INC DISTRICT,CALIFORNIA,915,915
OPTIONS FOR YOUTH SAN GABRIEL DISTRICT,CALIFORNIA,362,362
OPTIONS FOR YOUTH-ACTON DISTRICT,CALIFORNIA,1555,1555
OPTIONS FOR YOUTH-SAN BERNARDINO DISTRICT,CALIFORNIA,808,808
OPTIONS FOR YOUTH-SAN JUAN DISTRICT,CALIFORNIA,819,819
OPTIONS FOR YOUTH-VICTORVILLE CHARTER DISTRICT,CALIFORNIA,718,718
ORANGE CENTER,California,275,275
ORANGE COUNTY ACADEMY OF SCIENCES AND ARTS DISTRICT,CALIFORNIA,257,257
ORANGE COUNTY CLASSICAL ACADEMY DISTRICT,CALIFORNIA,417,417
ORANGE COUNTY DEPARTMENT OF EDUCATION,California,2379,2379
ORANGE COUNTY EDUCATIONAL ARTS ACADEMY DISTRICT,CALIFORNIA,593,593
ORANGE COUNTY WORKFORCE INNOVATION HIGH DISTRICT,CALIFORNIA,206,206
ORANGE UNIFIED,California,25178,25178
ORCHARD ELEMENTARY,California,765,765
ORCUTT UNION ELEMENTARY,California,4758,4758
ORICK ELEMENTARY,California,18,18
ORINDA UNION ELEMENTARY,California,2489,2489
ORLAND JOINT UNIFIED,California,2287,2287
ORO GRANDE,California,95,95
OROVILLE CITY ELEMENTARY,California,2147,2147
OROVILLE UNION HIGH,California,2427,2427
OSCAR DE LA HOYA ANIMO CHARTER HIGH DISTRICT,CALIFORNIA,613,613
OUR COMMUNITY CHARTER DISTRICT,CALIFORNIA,414,414
OUTSIDE CREEK ELEMENTARY,California,126,126
OWENS VALLEY UNIFIED,California,81,81
OXFORD DAY ACADEMY DISTRICT,CALIFORNIA,100,100
OXFORD PREPARATORY ACADEMY - SADDLEBACK VALLEY DISTRICT,CALIFORNIA,690,690
OXFORD PREPARATORY ACADEMY - SOUTH ORANGE COUNTY DISTRICT,CALIFORNIA,870,870
OXNARD,California,14381,14381
OXNARD UNION HIGH,California,17394,17394
PACHECO UNION ELEMENTARY,California,694,694
PACIFIC COAST ACADEMY DISTRICT,CALIFORNIA,4492,4492
PACIFIC COLLEGIATE CHARTER DISTRICT,CALIFORNIA,556,556
PACIFIC COMMUNITY CHARTER DISTRICT,CALIFORNIA,65,65
PACIFIC ELEMENTARY,California,145,145
PACIFIC GROVE UNIFIED,California,1812,1812
PACIFIC SPRINGS CHARTER DISTRICT,CALIFORNIA,478,478
PACIFIC UNION ELEMENTARY,California,567,567
PACIFIC UNION ELEMENTARY,California,349,349
PACIFIC VIEW CHARTER 2.0 DISTRICT,CALIFORNIA,142,142
PACIFIC VIEW CHARTER DISTRICT,CALIFORNIA,589,589
PACIFICA,California,2811,2811
PACOIMA CHARTER ELEMENTARY DISTRICT,CALIFORNIA,991,991
PAJARO VALLEY UNIFIED,California,18164,18164
PALERMO UNION ELEMENTARY,California,1249,1249
PALISADES CHARTER HIGH DISTRICT,CALIFORNIA,2988,2988
PALM LANE ELEMENTARY CHARTER DISTRICT,CALIFORNIA,290,290
PALM SPRINGS UNIFIED,California,21306,21306
PALMDALE AEROSPACE ACADEMY DISTRICT,CALIFORNIA,2309,2309
PALMDALE ELEMENTARY,California,17575,17575
PALO ALTO UNIFIED,California,10509,10509
PALO VERDE UNIFIED,California,2809,2809
PALO VERDE UNION ELEMENTARY,California,488,488
PALOS VERDES PENINSULA UNIFIED,California,10432,10432
PANAMA-BUENA VISTA UNION,California,18785,18785
PANOCHE ELEMENTARY,California,11,11
PARA LOS NINOS - EVELYN THURMAN GRATTS PRIMARY DISTRICT,CALIFORNIA,214,214
PARA LOS NINOS CHARTER DISTRICT,CALIFORNIA,296,296
PARA LOS NINOS MIDDLE DISTRICT,CALIFORNIA,283,283
PARADISE CHARTER MIDDLE DISTRICT,CALIFORNIA,143,143
PARADISE ELEMENTARY,California,192,192
PARADISE RIDGE ELEMENTARY DISTRICT,CALIFORNIA,†,†
PARADISE UNIFIED,California,1494,1494
PARAGON COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,202,202
PARAMOUNT UNIFIED,California,13160,13160
PARLIER UNIFIED,California,3323,3323
PARTNERS IN NUTRITION COOPERATIVE,California,†,†
PASADENA ROSEBUD ACADEMY DISTRICT,CALIFORNIA,168,168
PASADENA UNIFIED,California,14542,14542
PASEO GRANDE CHARTER DISTRICT,CALIFORNIA,9,9
PASO ROBLES JOINT UNIFIED,California,6539,6539
PATHWAYS ACADEMY CHARTER - ADULT EDUCATION DISTRICT,CALIFORNIA,97,97
PATHWAYS CHARTER DISTRICT,CALIFORNIA,366,366
PATHWAYS TO COLLEGE K8 DISTRICT,CALIFORNIA,347,347
PATTERSON JOINT UNIFIED,California,6214,6214
PEABODY CHARTER DISTRICT,CALIFORNIA,742,742
PEAK PREP PLEASANT VALLEY DISTRICT,CALIFORNIA,323,323
PEAK TO PEAK MOUNTAIN CHARTER DISTRICT,CALIFORNIA,61,61
PENINSULA UNION,California,58,58
PENN VALLEY UNION ELEMENTARY,CALIFORNIA,564,564
PERRIS ELEMENTARY,California,5369,5369
PERRIS UNION HIGH,California,11342,11342
PERSEVERANCE PREPARATORY DISTRICT,CALIFORNIA,57,57
PETALUMA CITY ELEMENTARY,California,2133,2133
PETALUMA CITY ELEMENTARY/JOINT UNION HIGH,California,†,†
PETALUMA JOINT UNION HIGH,California,5070,5070
PHOENIX CHARTER ACADEMY COLLEGE VIEW DISTRICT,CALIFORNIA,†,†
PHOENIX CHARTER ACADEMY DISTRICT,CALIFORNIA,309,309
PIEDMONT CITY UNIFIED,California,2349,2349
PIERCE JOINT UNIFIED,California,1496,1496
PINE RIDGE ELEMENTARY,California,89,89
PINER-OLIVET CHARTER DISTRICT,CALIFORNIA,198,198
PINER-OLIVET UNION ELEMENTARY,California,263,263
PIONEER UNION ELEMENTARY,California,285,285
PIONEER UNION ELEMENTARY,California,31,31
PIONEER UNION ELEMENTARY,California,1541,1541
PITTSBURG UNIFIED,California,10793,10793
PIVOT CHARTER SCHOOL - NORTH BAY DISTRICT,CALIFORNIA,366,366
PIVOT CHARTER SCHOOL - SAN DIEGO II DISTRICT,CALIFORNIA,113,113
PIVOT CHARTER SCHOOL NORTH VALLEY II DISTRICT,CALIFORNIA,91,91
PIVOT CHARTER SCHOOL RIVERSIDE DISTRICT,CALIFORNIA,137,137
PIXLEY UNION ELEMENTARY,California,889,889
PLACENTIA-YORBA LINDA UNIFIED,California,23657,23657
PLACER ACADEMY CHARTER DISTRICT,CALIFORNIA,315,315
PLACER COUNTY OFFICE OF EDUCATION,California,386,386
PLACER HILLS UNION ELEMENTARY,California,757,757
PLACER UNION HIGH,California,4136,4136
PLACERVILLE UNION ELEMENTARY,California,1171,1171
PLAINSBURG UNION ELEMENTARY,California,106,106
PLANADA ELEMENTARY,California,842,842
PLAZA ELEMENTARY,California,190,190
PLEASANT GROVE JOINT UNION,California,167,167
PLEASANT RIDGE UNION ELEMENTARY,California,1328,1328
PLEASANT VALLEY,California,5735,5735
PLEASANT VALLEY JOINT UNION ELEMENTARY,California,54,54
PLEASANT VIEW ELEMENTARY,California,426,426
PLEASANTON UNIFIED,California,14084,14084
PLUMAS CHARTER DISTRICT,CALIFORNIA,311,311
PLUMAS COUNTY OFFICE OF EDUCATION,California,18,18
PLUMAS COUNTY ROP,California,0,0
PLUMAS LAKE ELEMENTARY,California,1416,1416
PLUMAS UNIFIED,California,1757,1757
POINT ARENA JOINT UNION HIGH,California,140,140
POLLOCK PINES ELEMENTARY,California,602,602
POMONA UNIFIED,California,21909,21909
POND UNION ELEMENTARY,California,179,179
POPE VALLEY UNION ELEMENTARY,California,57,57
PORT OF LOS ANGELES HIGH DISTRICT,CALIFORNIA,975,975
PORTERVILLE UNIFIED,California,14471,14471
PORTOLA VALLEY ELEMENTARY,California,477,477
POTTER VALLEY COMMUNITY UNIFIED,California,274,274
POWAY UNIFIED,California,35192,35192
PREPA TEC - LOS ANGELES DISTRICT,CALIFORNIA,273,273
PREUSS SCHOOL UCSD DISTRICT,CALIFORNIA,853,853
PRIMARY CHARTER DISTRICT,CALIFORNIA,386,386
PRINCETON JOINT UNIFIED,California,152,152
PROVISIONAL ACCELERATED LEARNING ACADEMY DISTRICT,CALIFORNIA,269,269
PUBLIC SAFETY ACADEMY DISTRICT,CALIFORNIA,407,407
PUC CALS MIDDLE SCHOOL AND EARLY COLLEGE HIGH DISTRICT,CALIFORNIA,407,407
PUC COMM CHRTR MID & PUC COMM CHRTR EARLY COLLEGE HIGH DIST,CALIFORNIA,813,813
PUC COMMUNITY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,300,300
PUC EARLY COLLEGE ACAD FOR LEADERS&SCHOLARS(ECALS) DISTRICT,CALIFORNIA,239,239
PUC EXCEL CHARTER ACADEMY DISTRICT,CALIFORNIA,308,308
PUC INSPIRE CHARTER ACADEMY DISTRICT,CALIFORNIA,208,208
PUC LAKEVIEW CHARTER ACADEMY DISTRICT,CALIFORNIA,312,312
PUC LAKEVIEW CHARTER HIGH DISTRICT,CALIFORNIA,433,433
PUC MILAGRO CHARTER DISTRICT,CALIFORNIA,280,280
PUC NUEVA ESPERANZA CHARTER ACADEMY DISTRICT,CALIFORNIA,332,332
PUC TRIUMPH CHRTR ACADEMY & PUC TRIUMPH CHRTR HIGH DISTRICT,CALIFORNIA,783,783
PUENTE CHARTER DISTRICT,CALIFORNIA,239,239
PUPIL TRANSPORTATION CO-OP JPA,California,†,†
RAISIN CITY ELEMENTARY,California,275,275
RAMONA CITY UNIFIED,California,5128,5128
RANCHO SANTA FE ELEMENTARY,California,589,589
RAVENDALE-TERMO ELEMENTARY,California,14,14
RAVENSWOOD CITY ELEMENTARY,California,1530,1530
RAYMOND-KNOWLES UNION ELEMENTARY,California,69,69
REACH DISTRICT,CALIFORNIA,88,88
REACH LEADERSHIP STEAM ACADEMY DISTRICT,CALIFORNIA,621,621
RED BLUFF JOINT UNION HIGH,California,1774,1774
RED BLUFF UNION ELEMENTARY,California,1872,1872
REDDING ELEMENTARY,California,2986,2986
REDDING SCHOOL OF THE ARTS DISTRICT,CALIFORNIA,540,540
REDDING STEM ACADEMY DISTRICT,CALIFORNIA,230,230
REDLANDS UNIFIED,California,19918,19918
REDONDO BEACH UNIFIED,California,9607,9607
REDWOOD ACADEMY OF UKIAH DISTRICT,CALIFORNIA,127,127
REDWOOD CITY ELEMENTARY,California,6392,6392
REDWOOD COAST MONTESSORI DISTRICT,CALIFORNIA,174,174
REDWOOD PREPARATORY CHARTER DISTRICT,CALIFORNIA,219,219
REED UNION ELEMENTARY,California,1022,1022
REEDS CREEK ELEMENTARY,California,168,168
REEF-SUNSET UNIFIED,California,2747,2747
RENAISSANCE ARTS ACADEMY DISTRICT,CALIFORNIA,505,505
RESCUE UNION ELEMENTARY,California,3569,3569
RESOLUTE ACADEMY CHARTER DISTRICT,CALIFORNIA,191,191
RIALTO UNIFIED,California,24104,24104
RICHFIELD ELEMENTARY,California,222,222
RICHGROVE ELEMENTARY,California,531,531
RICHLAND UNION ELEMENTARY,California,2620,2620
RICHMOND CHARTER ACADEMY DISTRICT,CALIFORNIA,276,276
RICHMOND CHARTER ELEMENTARY-BENITO JUAREZ DISTRICT,CALIFORNIA,484,484
RICHMOND COLLEGE PREPARATORY DISTRICT,CALIFORNIA,513,513
RICHMOND ELEMENTARY,California,193,193
RIDGECREST ELEM ACAD FOR LANGUAGE MUSIC AND SCI DISTRICT,CALIFORNIA,168,168
RIM OF THE WORLD UNIFIED,California,2907,2907
RINCON VALLEY UNION ELEMENTARY,California,3020,3020
RIO BRAVO-GREELEY UNION ELEMENTARY,California,987,987
RIO DELL ELEMENTARY,California,294,294
RIO ELEMENTARY,California,5108,5108
RIO VALLEY CHARTER DISTRICT,CALIFORNIA,779,779
RIPON UNIFIED,California,3354,3354
RISE KOHYANG ELEMENTARY DISTRICT,CALIFORNIA,108,108
RISE KOHYANG HIGH DISTRICT,CALIFORNIA,454,454
RISE KOHYANG MIDDLE DISTRICT,CALIFORNIA,342,342
RISING SUN MONTESSORI DISTRICT,CALIFORNIA,138,138
RIVER CHARTER SCHOOLS LIGHTHOUSE CHARTER DISTRICT,CALIFORNIA,498,498
RIVER DELTA JOINT UNIFIED,California,1852,1852
RIVER ISLANDS HIGH DISTRICT,CALIFORNIA,†,†
RIVER ISLANDS TECHNOLOGY ACADEMY II DISTRICT,CALIFORNIA,1019,1019
RIVER MONTESSORI ELEMENTARY CHARTER DISTRICT,CALIFORNIA,128,128
RIVER OAK CHARTER DISTRICT,CALIFORNIA,238,238
RIVER OAKS ACADEMY DISTRICT,CALIFORNIA,344,344
RIVER SPRINGS CHARTER DISTRICT,CALIFORNIA,6444,6444
RIVER VALLEY CHARTER DISTRICT,CALIFORNIA,233,233
RIVERBANK UNIFIED,California,2945,2945
RIVERDALE JOINT UNIFIED,California,1478,1478
RIVERSIDE COUNTY OFFICE OF EDUCATION,California,1098,1098
RIVERSIDE COUNTY OFFICE OF EDUCATION ROP,California,0,0
RIVERSIDE PREPARATORY DISTRICT,CALIFORNIA,2445,2445
RIVERSIDE UNIFIED,California,39626,39626
ROBERTS FERRY UNION ELEMENTARY,California,159,159
ROBLA ELEMENTARY,California,1951,1951
ROCKETSHIP ACADEMY BRILLIANT MINDS DISTRICT,CALIFORNIA,524,524
ROCKETSHIP ALMA ACADEMY DISTRICT,CALIFORNIA,516,516
ROCKETSHIP DELTA PREP DISTRICT,CALIFORNIA,586,586
ROCKETSHIP DISCOVERY PREP DISTRICT,CALIFORNIA,464,464
ROCKETSHIP FUERZA COMMUNITY PREP DISTRICT,CALIFORNIA,578,578
ROCKETSHIP FUTURO ACADEMY DISTRICT,CALIFORNIA,648,648
ROCKETSHIP LOS SUENOS ACADEMY DISTRICT,CALIFORNIA,400,400
ROCKETSHIP MATEO SHEEDY ELEMENTARY DISTRICT,CALIFORNIA,479,479
ROCKETSHIP MOSAIC ELEMENTARY DISTRICT,CALIFORNIA,558,558
ROCKETSHIP REDWOOD CITY DISTRICT,CALIFORNIA,308,308
ROCKETSHIP RISING STARS DISTRICT,CALIFORNIA,608,608
ROCKETSHIP SI SE PUEDE ACADEMY DISTRICT,CALIFORNIA,330,330
ROCKETSHIP SPARK ACADEMY DISTRICT,CALIFORNIA,571,571
ROCKFORD ELEMENTARY,California,323,323
ROCKLIN ACADEMY AT MEYERS STREET DISTRICT,CALIFORNIA,106,106
ROCKLIN ACADEMY DISTRICT,CALIFORNIA,420,420
ROCKLIN ACADEMY GATEWAY DISTRICT,CALIFORNIA,1168,1168
ROCKLIN UNIFIED,California,11493,11493
ROCKY POINT CHARTER DISTRICT,CALIFORNIA,159,159
ROMOLAND ELEMENTARY,California,4295,4295
ROSEDALE UNION ELEMENTARY,California,5898,5898
ROSELAND,California,1469,1469
ROSELAND CHARTER DISTRICT,CALIFORNIA,1364,1364
ROSEMEAD ELEMENTARY,California,2302,2302
ROSEVILLE CITY ELEMENTARY,California,11468,11468
ROSEVILLE JOINT UNION HIGH,California,10586,10586
ROSS ELEMENTARY,California,369,369
ROSS VALLEY CHARTER DISTRICT,CALIFORNIA,210,210
ROSS VALLEY ELEMENTARY,California,1748,1748
ROUND VALLEY JOINT ELEMENTARY,California,58,58
ROUND VALLEY UNIFIED,California,431,431
ROWLAND UNIFIED,California,12203,12203
SACRAMENTO CHARTER HIGH DISTRICT,CALIFORNIA,407,407
SACRAMENTO CITY UNIFIED,California,39711,39711
SACRAMENTO COUNTY OFFICE OF EDUCATION,California,910,910
SACRAMENTO COUNTY ROP,California,0,0
SACRAMENTO VALLEY CHARTER DISTRICT,CALIFORNIA,266,266
SADDLEBACK VALLEY UNIFIED,California,24390,24390
SAGE OAK CHARTER - SOUTH DISTRICT,CALIFORNIA,419,419
SAINT HELENA UNIFIED,California,1145,1145
SALIDA UNION ELEMENTARY,California,2233,2233
SALINAS CITY ELEMENTARY,California,8287,8287
SALINAS UNION HIGH,California,16525,16525
SAMUELI ACADEMY DISTRICT,CALIFORNIA,806,806
SAN ANTONIO ROP,California,0,0
SAN ANTONIO ROP,California,†,†
SAN ANTONIO UNION ELEMENTARY,California,122,122
SAN ARDO UNION ELEMENTARY,California,93,93
SAN BENITO COUNTY OFFICE OF EDUCATION,California,29,29
SAN BENITO HIGH,California,3492,3492
SAN BERNARDINO CITY UNIFIED,California,46509,46509
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,California,1877,1877
SAN BERNARDINO COUNTY ROP,California,0,0
SAN BRUNO PARK ELEMENTARY,California,2087,2087
SAN CARLOS CHARTER LEARNING CENTER DISTRICT,CALIFORNIA,370,370
SAN CARLOS ELEMENTARY,California,2633,2633
SAN DIEGO COOPERATIVE CHARTER DISTRICT,CALIFORNIA,435,435
SAN DIEGO COUNTY OFFICE OF EDUCATION,California,949,949
SAN DIEGO COUNTY ROP,California,0,0
SAN DIEGO MISSION ACADEMY DISTRICT,CALIFORNIA,130,130
SAN DIEGO UNIFIED,California,95233,95233
SAN DIEGO VIRTUAL DISTRICT,CALIFORNIA,429,429
SAN DIEGO WORKFORCE INNOVATION HIGH DISTRICT,CALIFORNIA,2468,2468
SAN DIEGUITO UNION HIGH,California,12704,12704
SAN FRANCISCO COUNTY OFFICE OF EDUCATION,California,206,206
SAN FRANCISCO COUNTY ROP,California,0,0
SAN FRANCISCO UNIFIED,California,49204,49204
SAN GABRIEL UNIFIED,California,4689,4689
SAN GABRIEL VALLEY REGIONAL OCCUPATIONAL PROGRAM,California,0,0
SAN GABRIEL VALLEY REGIONAL OCCUPATIONAL PROGRAM,California,†,†
SAN JACINTO UNIFIED,California,10173,10173
SAN JACINTO VALLEY ACADEMY DISTRICT,CALIFORNIA,1503,1503
SAN JOAQUIN COUNTY OFFICE OF EDUCATION,California,1706,1706
SAN JOAQUIN COUNTY ROP,California,0,0
SAN JOAQUIN DATA PROCESSING JPA,California,†,†
SAN JOSE CHARTER ACADEMY DISTRICT,CALIFORNIA,1249,1249
SAN JOSE CONSERVATION CORPS CHARTER DISTRICT,CALIFORNIA,131,131
SAN JOSE UNIFIED,California,25677,25677
SAN JUAN UNIFIED,California,38289,38289
SAN LEANDRO UNIFIED,California,8712,8712
SAN LORENZO UNIFIED,California,8759,8759
SAN LORENZO VALLEY UNIFIED,California,2450,2450
SAN LUCAS UNION ELEMENTARY,California,73,73
SAN LUIS COASTAL UNIFIED,California,7378,7378
SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,California,263,263
SAN MARCOS UNIFIED,California,19622,19622
